DirPath,File,Method,PyPDF2_Score,OCR_Score,Final_Score,Output_Path
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MTHFR پروتکل هموسستنوری ناشی از نقص,MTHFR نامه ابلاغ پروتکل هموسیستنوری ناشی از نقص.pdf,"PyPDF2 (better, OCR worse)",0.521,0.4926,0.521,/content/drive/MyDrive/Base Model Farsi/Output Texts/MTHFR نامه ابلاغ پروتکل هموسیستنوری ناشی از نقص.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MTHFR پروتکل هموسستنوری ناشی از نقص,MTHFR پروتکل تشخیص و درمان هموسیستنوری ناشی از نقص.pdf,PyPDF2 (no OCR),0.7896,0.0,0.7896,/content/drive/MyDrive/Base Model Farsi/Output Texts/MTHFR پروتکل تشخیص و درمان هموسیستنوری ناشی از نقص.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/ابلاغ استاندارد - 202408100651581,نامه ابلاغ پروتکل تشخیص و درمان مسمومیت با الکل های شایع.pdf,"PyPDF2 (better, OCR worse)",0.5195,0.5034,0.5195,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ پروتکل تشخیص و درمان مسمومیت با الکل های شایع.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/ابلاغ استاندارد - 202408100651581,پیوست پروتکل مسمومیت با الکل ای شایع.pdf,PyPDF2 (no OCR),0.7931,0.0,0.7931,/content/drive/MyDrive/Base Model Farsi/Output Texts/پیوست پروتکل مسمومیت با الکل ای شایع.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/eb,پروتکل تشخیص و درمان ای بی - بهار 1401 - 1401-02-25.pdf,PyPDF2 (no OCR),0.7912,0.0,0.7912,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تشخیص و درمان ای بی - بهار 1401 - 1401-02-25.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/eb,نامه eb.pdf,PyPDF2 (no OCR),0.7869,0.0,0.7869,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه eb.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل سیستیک,نامه سیستیک.pdf,PyPDF2 (no OCR),0.7848,0.0,0.7848,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه سیستیک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل سیستیک,نسخه دوم پروتکل تشخیصی درمانی سی اف .pdf,PyPDF2 (no OCR),0.7915,0.0,0.7915,/content/drive/MyDrive/Base Model Farsi/Output Texts/نسخه دوم پروتکل تشخیصی درمانی سی اف .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/سلیاک,سلیاک.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/سلیاک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/سلیاک,سلیاک- ابلاغ.pdf,PyPDF2 (no OCR),0.7866,0.0,0.7866,/content/drive/MyDrive/Base Model Farsi/Output Texts/سلیاک- ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پارکینسون,پروتکل پارکینسون.pdf,"PyPDF2 (better, OCR worse)",0.5215,0.5013,0.5215,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل پارکینسون.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پارکینسون,پروتکل1 پارکینسون.pdf,PyPDF2 (no OCR),0.793,0.0,0.793,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل1 پارکینسون.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MG,نامه میاستنی گراو.pdf,PyPDF2 (no OCR),0.7848,0.0,0.7848,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه میاستنی گراو.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MG,MG protocol-v2.pdf,PyPDF2 (no OCR),0.7698,0.0,0.7698,/content/drive/MyDrive/Base Model Farsi/Output Texts/MG protocol-v2.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MG,نامه اصلاحیه.pdf,PyPDF2 (no OCR),0.7844,0.0,0.7844,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه اصلاحیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/فارماکو تراپی,پروتکل جامع فارماکو تراپی پیوند کبد کودکان نامه ابلاغ.pdf,"PyPDF2 (better, OCR worse)",0.523,0.4949,0.523,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل جامع فارماکو تراپی پیوند کبد کودکان نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/فارماکو تراپی,پروتکل جامع فارماکو تراپی پیوند کبد کودکان فایل پیوست.pdf,PyPDF2 (no OCR),0.7865,0.0,0.7865,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل جامع فارماکو تراپی پیوند کبد کودکان فایل پیوست.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/ALD,سه بیماری نیمن پیک، گوشه و ALD(نامه).pdf,"PyPDF2 (better, OCR worse)",0.5199,0.4973,0.5199,/content/drive/MyDrive/Base Model Farsi/Output Texts/سه بیماری نیمن پیک، گوشه و ALD(نامه).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/ALD,ald.pdf,PyPDF2 (no OCR),0.7935,0.0,0.7935,/content/drive/MyDrive/Base Model Farsi/Output Texts/ald.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/نیمن پیک,سه بیماری نیمن پیک، گوشه و ALD(نامه).pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/سه بیماری نیمن پیک، گوشه و ALD(نامه).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/نیمن پیک,نیمن پیک.pdf,PyPDF2 (no OCR),0.7207,0.0,0.7207,/content/drive/MyDrive/Base Model Farsi/Output Texts/نیمن پیک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/تی سا کس ,پرو تکل تشخیص و درمان بیماری تی ساکس نامه  ابلاغ.pdf,"PyPDF2 (better, OCR worse)",0.5193,0.5035,0.5193,/content/drive/MyDrive/Base Model Farsi/Output Texts/پرو تکل تشخیص و درمان بیماری تی ساکس نامه  ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/تی سا کس ,پروتکل تشخیص و درمان بیماری تی ساکس فایل پیوست .pdf,PyPDF2 (no OCR),0.7862,0.0,0.7862,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تشخیص و درمان بیماری تی ساکس فایل پیوست .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/SMBG,SMBG.pdf,PyPDF2 (no OCR),0.7871,0.0,0.7871,/content/drive/MyDrive/Base Model Farsi/Output Texts/SMBG.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/SMBG,SMBG (2).pdf,PyPDF2 (no OCR),0.7731,0.0,0.7731,/content/drive/MyDrive/Base Model Farsi/Output Texts/SMBG (2).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines,Irapen 1396.pdf,PyPDF2 (no OCR),0.7552,0.0,0.7552,/content/drive/MyDrive/Base Model Farsi/Output Texts/Irapen 1396.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/نالوکسان_1,نامه نالوکسان.pdf,"PyPDF2 (better, OCR worse)",0.5198,0.5059,0.5198,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه نالوکسان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل توهم زا_2,نامه ابلاغ.pdf,"PyPDF2 (better, OCR worse)",0.5212,0.5058,0.5212,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل توهم زا_2,اصلاحی- 1 آذر.pdf,PyPDF2 (no OCR),0.7936,0.0,0.7936,/content/drive/MyDrive/Base Model Farsi/Output Texts/اصلاحی- 1 آذر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/Protocol-Cannabis-Pharmacotherapy-Adol-99.7.22,Protocol-Cannabis-Pharmacotherapy-Adol-99.7.22.pdf,PyPDF2 (no OCR),0.7869,0.0,0.7869,/content/drive/MyDrive/Base Model Farsi/Output Texts/Protocol-Cannabis-Pharmacotherapy-Adol-99.7.22.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/ندول ریه,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/ندول ریه,ندول ریه 16 مهر ماه.pdf,OCR (better),0.4707,0.7143,0.7143,/content/drive/MyDrive/Base Model Farsi/Output Texts/ندول ریه 16 مهر ماه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/گوشه,سه بیماری نیمن پیک، گوشه و ALD(نامه).pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/سه بیماری نیمن پیک، گوشه و ALD(نامه).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/گوشه,گوشه.pdf,PyPDF2 (no OCR),0.7727,0.0,0.7727,/content/drive/MyDrive/Base Model Farsi/Output Texts/گوشه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/غدد,اختلالات غدد در بیماران تالاسمی.pdf,PyPDF2 (no OCR),0.7853,0.0,0.7853,/content/drive/MyDrive/Base Model Farsi/Output Texts/اختلالات غدد در بیماران تالاسمی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/غدد,نامه.pdf,PyPDF2 (no OCR),0.7848,0.0,0.7848,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل مسمومیت با آلومینیوم,نامه ابلاغ پروتکل مسمومیت با آلومینیوم.pdf,"PyPDF2 (better, OCR worse)",0.5239,0.5044,0.5239,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ پروتکل مسمومیت با آلومینیوم.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل مسمومیت با آلومینیوم,پروتکل مسمومیت با آلومینیوم.pdf,PyPDF2 (no OCR),0.7216,0.0,0.7216,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل مسمومیت با آلومینیوم.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/جراحی قلب کرونا_1,پروتکل جراحی قلب در کویید 19.pdf,PyPDF2 (no OCR),0.7902,0.0,0.7902,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل جراحی قلب در کویید 19.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/جراحی قلب کرونا_1,N!41477167.pdf,"PyPDF2 (better, OCR worse)",0.4741,0.4268,0.4741,/content/drive/MyDrive/Base Model Farsi/Output Texts/N!41477167.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل تشخیص و درمان بیماریهای نقص ایمنی اولیه,نامه ابلاغ پروتکل نقص ایمنی اولیه.pdf,"PyPDF2 (better, OCR worse)",0.5201,0.4926,0.5201,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ پروتکل نقص ایمنی اولیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل تشخیص و درمان بیماریهای نقص ایمنی اولیه,پروتکل نقص ایمنی اولیه.pdf,PyPDF2 (no OCR),0.7897,0.0,0.7897,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل نقص ایمنی اولیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/Protocol-SUD-Psychotherapy-Adol-99.7.4,Protocol-SUD-Psychotherapy-Adol-99.7.4.pdf,PyPDF2 (no OCR),0.7819,0.0,0.7819,/content/drive/MyDrive/Base Model Farsi/Output Texts/Protocol-SUD-Psychotherapy-Adol-99.7.4.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/Protocol-OUD-Child-Adol-99.7.22_1,Protocol-OUD-Child-Adol-99.7.22.pdf,PyPDF2 (no OCR),0.7905,0.0,0.7905,/content/drive/MyDrive/Base Model Farsi/Output Texts/Protocol-OUD-Child-Adol-99.7.22.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/وزوز,وزوز.pdf,PyPDF2 (no OCR),0.787,0.0,0.787,/content/drive/MyDrive/Base Model Farsi/Output Texts/وزوز.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/وزوز,پروتکل وزوز گوش.pdf,PyPDF2 (no OCR),0.7477,0.0,0.7477,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل وزوز گوش.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل درمان پیشگیرانه هموفیلی,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل درمان پیشگیرانه هموفیلی,پروتکل درمان پیشگیرانه هموفیلی.pdf,PyPDF2 (no OCR),0.7849,0.0,0.7849,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل درمان پیشگیرانه هموفیلی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/قرص برنج,پروتکل مسمومیت با قرص برنج.pdf,PyPDF2 (no OCR),0.7899,0.0,0.7899,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل مسمومیت با قرص برنج.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/قرص برنج,نامه ابلاغ مسمومیت با قرص برنج.pdf,"PyPDF2 (better, OCR worse)",0.5113,0.4878,0.5113,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ مسمومیت با قرص برنج.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/استواردشیپ,نامه (تجویز منطقی آنتی بیوتیک).pdf,"PyPDF2 (better, OCR worse)",0.5197,0.5036,0.5197,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه (تجویز منطقی آنتی بیوتیک).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/استواردشیپ,استوارد شیپ.pdf,"PyPDF2 (better, OCR worse)",0.5763,0.5713,0.5763,/content/drive/MyDrive/Base Model Farsi/Output Texts/استوارد شیپ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل جامع فارماکوتراپی در پیوند کبد,پروتکل پیوند کبد بزرگسال 1 اسفند 1402 .pdf,PyPDF2 (no OCR),0.7883,0.0,0.7883,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل پیوند کبد بزرگسال 1 اسفند 1402 .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل جامع فارماکوتراپی در پیوند کبد,نامه ابلاغ فارماکوتراپی پیوند کبد بزرگسال 8 اسفند.pdf,"PyPDF2 (better, OCR worse)",0.5217,0.4945,0.5217,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ فارماکوتراپی پیوند کبد بزرگسال 8 اسفند.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Cardiology,راهکار طبابت بالینی آنژین پای.pdf,PyPDF2 (no OCR),0.7514,0.0,0.7514,/content/drive/MyDrive/Base Model Farsi/Output Texts/راهکار طبابت بالینی آنژین پای.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Cardiology,Emboli.pdf,PyPDF2 (no OCR),0.7843,0.0,0.7843,/content/drive/MyDrive/Base Model Farsi/Output Texts/Emboli.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Cardiology,دیس لیپیدمی.pdf,PyPDF2 (no OCR),0.7893,0.0,0.7893,/content/drive/MyDrive/Base Model Farsi/Output Texts/دیس لیپیدمی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Cardiology,ACS طبابت بالینی.pdf,PyPDF2 (no OCR),0.7898,0.0,0.7898,/content/drive/MyDrive/Base Model Farsi/Output Texts/ACS طبابت بالینی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Cardiology,خلاصه ACS.pdf,PyPDF2 (no OCR),0.7907,0.0,0.7907,/content/drive/MyDrive/Base Model Farsi/Output Texts/خلاصه ACS.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Hematology & Oncology,راهنمای فرایند تزریق خون.pdf,PyPDF2 (no OCR),0.7884,0.0,0.7884,/content/drive/MyDrive/Base Model Farsi/Output Texts/راهنمای فرایند تزریق خون.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Emergency Department,Neck Trauma.pdf,PyPDF2 (no OCR),0.788,0.0,0.788,/content/drive/MyDrive/Base Model Farsi/Output Texts/Neck Trauma.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/نالوکسان_1,opioid پروتکل.pdf,OCR (better),0.4122,0.781,0.781,/content/drive/MyDrive/Base Model Farsi/Output Texts/opioid پروتکل.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Emergency Department,راهنمای احیای وریدی در تروما.pdf,PyPDF2 (no OCR),0.7875,0.0,0.7875,/content/drive/MyDrive/Base Model Farsi/Output Texts/راهنمای احیای وریدی در تروما.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Ophtalmology,رتینوپاتی.pdf,PyPDF2 (no OCR),0.74,0.0,0.74,/content/drive/MyDrive/Base Model Farsi/Output Texts/رتینوپاتی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Neurology,1.TBI CogRehab CPGs- Brief.pdf,PyPDF2 (no OCR),0.7971,0.0,0.7971,/content/drive/MyDrive/Base Model Farsi/Output Texts/1.TBI CogRehab CPGs- Brief.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Neurology,2.TBI CogRehab CPGs- Report. HG 22.11.1401.pdf,PyPDF2 (no OCR),0.7958,0.0,0.7958,/content/drive/MyDrive/Base Model Farsi/Output Texts/2.TBI CogRehab CPGs- Report. HG 22.11.1401.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Surgery,prophilactic_antibiotic_260622.pdf,OCR (better),0.5772,0.75,0.75,/content/drive/MyDrive/Base Model Farsi/Output Texts/prophilactic_antibiotic_260622.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Emergency Department,Head Trauma.pdf,OCR (better),0.5054,0.7426,0.7426,/content/drive/MyDrive/Base Model Farsi/Output Texts/Head Trauma.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Endocrine,Hypothyroidism.pdf,PyPDF2 (no OCR),0.7108,0.0,0.7108,/content/drive/MyDrive/Base Model Farsi/Output Texts/Hypothyroidism.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Endocrine,Osteoporosis.pdf,PyPDF2 (no OCR),0.7917,0.0,0.7917,/content/drive/MyDrive/Base Model Farsi/Output Texts/Osteoporosis.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/Sorted by Field/Psychology,راهنمای بالینی مدیریت اختلال دو¬قطبی بزرگسالان ایران.pdf,PyPDF2 (no OCR),0.7972,0.0,0.7972,/content/drive/MyDrive/Base Model Farsi/Output Texts/راهنمای بالینی مدیریت اختلال دو¬قطبی بزرگسالان ایران.txt
